CustomerID,Name,Email,Phone,City,Product,Category,Quantity,Price,TotalAmount,OrderDate,PaymentMode
C001,Saira Desai,tarini68@randhawa.info,+910330668655,Bathinda,Jeans,Fashion,4,3801,15204,2025-03-11,Debit Card
C002,Lagan Rau,malhotrainaaya@dugar.com,04626068173,Bhubaneswar,Bluetooth Earbuds,Electronics,5,1332,6660,2025-09-04,COD
C003,Vedika Lata,,06659963132,Jaipur,Spices Pack,,4,2892,,2025-08-01,
C004,Rhea Buch,ishita27@bali.net,07757097726,Chandigarh,Wheat Flour,Grocery,3,4970,14910,2025-06-29,Net Banking
C005,Hunar Mangal,bdoctor@datta.com,09502542895,Vadodara,Shoes,Fashion,1,3716,3716,2025-03-27,Debit Card
C006,Vidur Chatterjee,ahari@yahoo.com,4390230544,Jodhpur,Snacks Box,Grocery,4,4618,18472,2025-08-28,Net Banking
C007,Miraan Grover,,,,,,,,,,
C008,Pari Ganesan,,,,,,,,,,
C009,Devansh Sabharwal,,,,,,,,,,
C010,Pranay Chokshi,,,,,,,,,,
C011,Divyansh Malhotra,,,,,,,,,,
C012,Myra Korpal,,,,,,,,,,
C013,Kiaan Issac,,,,,,,,,,
C014,Vivaan Uppal,,,,,,,,,,
C015,Ahana  Kapur,,,,,,,,,,
C016,Pranay Madan,,,,,,,,,,
C017,Rohan Shanker,,,,,,,,,,
C018,Nirvaan Vora,,,,,,,,,,
C019,Raunak Chaudry,jayanissac@varkey-venkatesh.com,+911684363385,Bidar,Watch,Fashion,5,3949,19745,2025-07-30,UPI
C020,Armaan Iyengar,wabletaran@bedi.com,+917658439542,Guwahati,Watch,Fashion,5,1375,6875,2025-07-21,Credit Card
C021,Gokul Reddy,raghavtank@hotmail.com,06097250350,Mirzapur,T-shirt,Fashion,3,2248,6744,2025-05-27,Net Banking
C022,Aarna Karnik,krishnajivin@hotmail.com,00208213781,Kota,Mixer Grinder,Home,3,262,786,2025-05-05,Debit Card
C023,Dhruv Barad,nishith57@hotmail.com,5350218275,Panihati,Snacks Box,Grocery,1,3313,3313,2025-01-27,UPI
C024,Sahil Sanghvi,kismat39@ratti.info,3818820333,Tadepalligudem,Jeans,Fashion,5,3684,18420,2025-04-20,COD
C025,Amani Korpal,aaina42@hotmail.com,+910189291643,Etawah,Bluetooth Earbuds,Electronics,4,1366,5464,2025-09-06,Net Banking
C026,Nayantara Dugar,sakshamswamy@hotmail.com,1625005321,Dehradun,Rice Bag,Grocery,1,4286,4286,2025-04-23,Net Banking
C027,Saira Bawa,kiara14@vasa.info,+914711928302,Sangli-Miraj & Kupwad,Cookware Set,Home,4,3562,14248,2025-07-24,Net Banking
C028,Shray Guha,ivanaravel@kurian.com,+916602511026,Morbi,Smart Watch,Electronics,1,4579,4579,2025-03-30,Credit Card
C029,Neysa Cherian,karivaibhav@hotmail.com,07769613090,Rohtak,Snacks Box,Grocery,5,2039,10195,2025-03-28,COD
C030,Jhanvi Kala,vgera@yahoo.com,08790913495,Dhule,Cooking Oil,Grocery,4,4167,16668,2025-08-31,Net Banking
C031,Kimaya Shah,indrajit93@gmail.com,9222238996,Mumbai,Watch,Fashion,1,3303,3303,2025-04-14,Net Banking
C032,Lakshit Ratta,mthaman@hotmail.com,7609474966,Panihati,Power Bank,Electronics,1,1596,1596,2025-03-11,Credit Card
C033,Raunak Cheema,yasmin25@dutt.com,7124672585,Bathinda,Water Purifier,Home,5,2576,12880,2025-05-11,Debit Card
C034,Rania Sodhi,fsinha@anand-suresh.biz,02020529758,Chandigarh,Rice Bag,Grocery,5,1907,9535,2025-07-15,Debit Card
C035,Dishani Sethi,tankzain@gmail.com,7467422795,Amroha,Keyboard,Electronics,1,3065,3065,2025-01-31,Debit Card
